X,Iris-versicolor,Iris-setosa,Iris-virginica
Iris-versicolor,24,0,0
Iris-setosa,0,28,0
Iris-virginica,0,0,23
X,Iris-virginica,Iris-setosa,Iris-versicolor
Iris-virginica,27,0,0
Iris-setosa,0,23,0
Iris-versicolor,0,0,25
X,Iris-setosa,Iris-virginica,Iris-versicolor
Iris-setosa,30,0,0
Iris-virginica,0,27,0
Iris-versicolor,0,0,18
X,Iris-setosa,Iris-virginica,Iris-versicolor
Iris-setosa,30,0,0
Iris-virginica,0,27,0
Iris-versicolor,0,0,18
X,Iris-setosa,Iris-virginica,Iris-versicolor
Iris-setosa,30,0,0
Iris-virginica,0,27,0
Iris-versicolor,0,0,18
X,Iris-setosa,Iris-virginica,Iris-versicolor
Iris-setosa,30,0,0
Iris-virginica,0,27,0
Iris-versicolor,0,0,18
X,Iris-setosa,Iris-virginica,Iris-versicolor
Iris-setosa,30,0,0
Iris-virginica,0,27,0
Iris-versicolor,0,0,18
X,Iris-setosa,Iris-virginica,Iris-versicolor
Iris-setosa,23,0,0
Iris-virginica,0,28,1
Iris-versicolor,0,0,23
X,Iris-setosa,Iris-virginica,Iris-versicolor
Iris-setosa,23,0,0
Iris-virginica,0,28,1
Iris-versicolor,0,0,23
X,Iris-setosa,Iris-virginica,Iris-versicolor
Iris-setosa,23,0,0
Iris-virginica,0,28,1
Iris-versicolor,0,0,23
X,Iris-setosa,Iris-virginica,Iris-versicolor
Iris-setosa,26,0,0
Iris-virginica,0,25,1
Iris-versicolor,0,0,23
X,Iris-setosa,Iris-virginica,Iris-versicolor
Iris-setosa,26,0,0
Iris-virginica,0,25,1
Iris-versicolor,0,0,23
X,Iris-setosa,Iris-virginica,Iris-versicolor
Iris-setosa,26,0,0
Iris-virginica,0,25,1
Iris-versicolor,0,0,23
